vehicle_type,license_number,det_start,det_end
-1,NZL-52-36,2023-11-22 14:33:38.853603,2023-11-22 14:42:14.083940
car,K20-BGM,2023-11-22 14:36:14.502716,2023-11-22 14:37:22.519481
car,276-XRC,2023-11-22 14:33:42.132802,2023-11-22 14:34:02.004112
car,LHC-395-0,2023-11-22 14:39:16.385783,2023-11-22 14:39:51.985711
car,F7-631-,2023-11-22 14:34:06.994031,2023-11-22 14:34:49.246163
car,176-YDT,2023-11-22 14:34:53.507547,2023-11-22 14:35:16.547412
car,NST-48-46,2023-11-22 14:35:21.777164,2023-11-22 14:35:53.241082
car,HTL-57-507,2023-11-22 14:37:51.155438,2023-11-22 14:38:03.577188
car,NZK-13-64,2023-11-22 14:38:46.132577,2023-11-22 14:38:52.412084
car,PEK-96-58,2023-11-22 14:37:35.131714,2023-11-22 14:37:41.525949
car,PEC-71-76,2023-11-22 14:37:45.419260,2023-11-22 14:37:47.461494
car,MCP-223-4,2023-11-22 14:35:35.707487,2023-11-22 14:35:37.898914
bus,PAE-61-527,2023-11-22 14:38:06.211062,2023-11-22 14:38:07.447257
car,NLR-15-687,2023-11-22 14:38:32.962382,2023-11-22 14:38:33.580097
car,NDC-60-9E,2023-11-22 14:42:16.281557,2023-11-22 14:42:16.918315
car,LNB-617-A,2023-11-22 14:33:31.614450,2023-11-22 14:33:39.852907
car,746-XHJ,2023-11-22 14:36:17.500522,2023-11-22 14:36:17.983557
car,1B86-BBH,2023-11-22 14:36:12.610156,2023-11-22 14:36:13.495591
car,HJE-982-5,2023-11-22 14:37:32.757214,2023-11-22 14:37:32.757214
car,PAX-60-94,2023-11-22 14:37:53.963607,2023-11-22 14:37:53.963607
car,NHY-74-251,2023-11-22 14:34:00.057405,2023-11-22 14:34:00.057405
car,LHU-265-A,2023-11-22 14:36:29.177183,2023-11-22 14:36:29.177183
